HC0,,HC12k,
X,Y,X,Y
49.277480689245394,-428.42809364548486,51.8562091503268,-459.19732441471564
49.74093879976233,-465.88628762541794,52.307783719548425,-454.515050167224
50.6797385620915,-429.76588628762534,53.76945929887106,-479.26421404682264
51.297682709447415,-554.8494983277591,54.01307189542484,-499.9999999999999
52.0701128936423,-520.7357859531771,54.6369578134284,-523.4113712374581
54.4349376114082,-570.2341137123746,55.44503862150921,-498.6622073578595
55.06476530005942,-594.3143812709029,,
55.39750445632799,-559.5317725752508,,
