,Percentage of Fibre in 0-deg Direction,Percentage of Fibre in 45-deg Direction,Percentage of Fibre in 90-deg Direction,Percentage of Fibre in Other Direction,Absolute Maximum Stress,Absolute Peak-to-peak Stress,Frequency,Fibre Volumn Fraction,Relative Maximum Stress,Relative Peak-to-peak Stress,Thickness,Static Maximum Tensile Stress,Static Maximum Tensile Strain,Static Elastic Modulus,0-deg layers,45-deg layers,log(Cycles to Failure)
count,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0
mean,54.26530075073242,29.15636444091797,9.808467864990234,8.958441734313965,178.20985412597656,286.70184326171875,7.545610427856445,45.08303451538086,0.49727362394332886,0.47801974415779114,3.218065023422241,634.2312622070312,2.9114878177642822,28.996646881103516,3.146493434906006,4.241038799285889,4.574162483215332
std,35.05693817138672,28.295368194580078,24.339679718017578,26.30133628845215,347.29913330078125,253.83323669433594,11.918896675109863,9.693302154541016,0.17967215180397034,0.19897609949111938,1.0854045152664185,415.85601806640625,2.8393802642822266,21.250404357910156,2.570087194442749,3.645416736602783,1.2815790176391602
min,0.0,0.0,0.0,0.0,-896.0,0.0,0.10000000149011612,21.0,0.04262877628207207,0.0,0.4699999988079071,20.52941131591797,0.019999999552965164,6.887499809265137,0.0,0.0,0.45154500007629395
25%,24.0,0.0,0.0,0.0,20.700000762939453,124.05000305175781,2.0,37.0,0.35983264446258545,0.3410526216030121,2.640000104904175,310.3333435058594,2.1066665649414062,16.96666717529297,2.0,0.0,3.7317473888397217
50%,57.0,26.0,0.0,0.0,172.0,248.39999389648438,4.0,44.0,0.48645076155662537,0.45338910818099976,3.0999999046325684,628.0,2.700000047683716,24.516666412353516,4.0,4.0,4.653870582580566
75%,81.0,45.0,2.0,1.0,345.0,372.6000061035156,10.0,54.0,0.6179401874542236,0.5817362070083618,4.070000171661377,868.888916015625,3.0,32.96666717529297,4.0,8.0,5.5674214363098145
max,100.0,100.0,100.0,100.0,1894.0,1705.0,100.0,69.6500015258789,1.0933374166488647,1.737062931060791,6.909999847412109,2018.5,23.66666603088379,131.4166717529297,20.0,16.0,7.893455982208252
Skewness,-0.3510695993900299,0.8982430100440979,2.581864356994629,3.048600196838379,0.7737106680870056,2.2489442825317383,4.535303115844727,-0.0025873661506921053,0.2802095413208008,1.222230315208435,0.33268752694129944,0.5828805565834045,5.280803680419922,2.5386219024658203,1.2122141122817993,0.5866225361824036,-0.3230236768722534
Gini Index,0.3643601991418729,0.5270058879580313,0.8723511374991588,0.9001760269304485,1.0283421858819375,0.4303732728054775,0.5709186005139876,0.12292038374904259,0.20532620421546377,0.2233860715412445,0.18572509712589635,0.3659664749682851,0.3202359331570144,0.3363486631376796,0.42952316628393894,0.4674675642828509,0.15872369646206502
Mode,0.0,0.0,0.0,0.0,345.0,310.5,2.0,55.0,0.41183167695999146,0.3706485331058502,4.090000152587891,868.888916015625,2.6277778148651123,32.96666717529297,4.0,4.0,0.8450980186462402
Mode counts,384.0,600.0,1424.0,1411.0,151.0,172.0,356.0,166.0,10.0,6.0,130.0,74.0,74.0,74.0,570.0,687.0,2.0
Mode percentage,0.19948051948051948,0.3116883116883117,0.7397402597402597,0.732987012987013,0.07844155844155844,0.08935064935064935,0.18493506493506492,0.08623376623376623,0.005194805194805195,0.003116883116883117,0.06753246753246753,0.03844155844155844,0.03844155844155844,0.03844155844155844,0.2961038961038961,0.35688311688311686,0.001038961038961039
