,Thickness,Width,Area,Length(gauge),Frequency,Absolute Maximum Stress,Absolute Peak-to-peak Stress,0-deg layers,45-deg layers,90-deg layers,log(Cycles to Failure)
count,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0
mean,3.1189022064208984,20.36114501953125,63.470481872558594,32.14229965209961,3.190000057220459,210.8746337890625,423.66326904296875,2.0511112213134766,0.25777778029441833,1.8777778148651123,4.572807788848877
std,0.4660157859325409,2.2314488887786865,11.373262405395508,32.242469787597656,2.1162643432617188,378.07037353515625,255.4319305419922,0.6077166199684143,0.9832651019096375,0.728481650352478,1.2163569927215576
min,2.0450000762939453,9.970000267028809,29.28499984741211,9.050000190734863,0.5,-538.8011474609375,20.722810745239258,0.0,0.0,0.0,1.1760913133621216
25%,2.9149999618530273,19.950000762939453,58.61191368103027,20.015625476837158,1.0,38.63600826263428,272.4050979614258,2.0,0.0,2.0,3.65745210647583
50%,2.994999885559082,20.12666606903076,60.387908935546875,20.421250343322754,3.0,302.8620147705078,397.38739013671875,2.0,0.0,2.0,4.649690866470337
75%,3.071874976158142,20.34000015258789,66.91171646118164,30.295000076293945,4.0,407.1468048095703,568.8330078125,2.0,0.0,2.0,5.495807647705078
max,4.639999866485596,25.079999923706055,92.18550109863281,151.0500030517578,10.0,1470.02978515625,1323.0267333984375,3.0,4.0,3.0,7.475337505340576
Skewness,1.937724232673645,-1.5525145530700684,0.46463343501091003,3.001890182495117,1.0749952793121338,-0.17114706337451935,0.4740496575832367,-1.460099458694458,3.5595691204071045,-1.5439536571502686,-0.17793059349060059
Gini Index,0.06524816694250389,0.04189651444704825,0.08941404254073265,0.34242015684444543,0.34989124966136465,0.9751235226902626,0.33745381702616783,0.11401709401709405,0.9355555555555556,0.15312294543063773,0.15182057716664504
Mode,2.930000066757202,20.18000030517578,59.215301513671875,35.0,3.0,392.2722473144531,784.5444946289062,2.0,0.0,2.0,2.556302547454834
Mode counts,14.0,11.0,2.0,18.0,148.0,2.0,2.0,355.0,421.0,355.0,2.0
Mode percentage,0.03111111111111111,0.024444444444444446,0.0044444444444444444,0.04,0.3288888888888889,0.0044444444444444444,0.0044444444444444444,0.7888888888888889,0.9355555555555556,0.7888888888888889,0.0044444444444444444
