,Program,Model,Training RMSE,Training MSE,Training MAE,Training MAPE,Training R2,Testing RMSE,Testing MSE,Testing MAE,Testing MAPE,Testing R2,Validation RMSE,Validation MSE,Validation MAE,Validation MAPE,Validation R2
0,AutoGluon,WeightedEnsemble_L2,0.055631567,0.003094871,0.04005829,0.0109043885,0.997898783768506,0.7920471,0.6273386,0.55171824,0.14113303,0.5331923892750453,0.7602692,0.5780093,0.59784645,0.15996616,0.6427545796711933
1,AutoGluon,KNeighborsDist_BAG_L1/T0,0.0,0.0,0.0,0.0,1.0,0.8101705,0.6563762,0.5586859,0.14180714,0.5115852183293323,0.7639258,0.5835826,0.59966296,0.15964532,0.6393099093477876
2,AutoGluon,ExtraTreesMSE_BAG_L1/T0,0.2741486,0.07515746,0.20859815,0.054445714,0.9489729711165678,0.816019,0.665887,0.6358242,0.16173486,0.5045081546395547,0.87069225,0.75810504,0.6848781,0.18182077,0.531444307935209
3,AutoGluon,CatBoost_BAG_L1/T0,0.30505952,0.09306132,0.23640141,0.060316857,0.9368174172821642,0.8174483,0.6682218,0.6412844,0.16331056,0.5027708254198655,0.8846117,0.78253794,0.6963035,0.18459566,0.5163432864682413
4,AutoGluon,XGBoost_BAG_L1/T0,0.28206247,0.07955924,0.21369238,0.051550593,0.9459844543887992,0.82302624,0.6773722,0.6528431,0.16484122,0.4959619233768141,0.86847144,0.7542426,0.6824197,0.1773803,0.5338314515782272
5,AutoGluon,LightGBMLarge_BAG_L1,0.34757516,0.1208085,0.26182094,0.06968284,0.9179788921934703,0.8405923,0.7065954,0.66192347,0.16883825,0.4742167307070805,0.9206253,0.84755105,0.7260399,0.19320552,0.47616111274749895
6,AutoGluon,NeuralNetMXNet_BAG_L1/T0,0.53757703,0.28898907,0.36955684,0.1026707,0.8037952200188733,0.84409624,0.7124985,0.6435547,0.17533813,0.46982420674468484,0.9200764,0.8465405,0.7021171,0.19353369,0.4767857899657423
7,AutoGluon,KNeighborsUnif_BAG_L1/T0,0.6576596,0.4325161,0.48552004,0.1271748,0.7063496953020086,0.8635366,0.7456955,0.61167186,0.15751664,0.4451220564605014,0.82750094,0.6847578,0.6733762,0.17670725,0.5767773711602022
8,AutoGluon,RandomForestMSE_BAG_L1/T0,0.29414096,0.08651891,0.22406033,0.0589212,0.9412592851782949,0.86411184,0.74668926,0.6772248,0.17180729,0.44438256319530756,0.9222151,0.8504807,0.7230462,0.19422129,0.4743503908596073
9,AutoGluon,LightGBMXT_BAG_L1/T0,0.65334094,0.42685434,0.5170075,0.1339026,0.7101936590514139,0.88135123,0.77677995,0.7122498,0.17995498,0.4219918511388956,0.9360942,0.87627244,0.7646615,0.20159756,0.45840954879194007
10,AutoGluon,NeuralNetFastAI_BAG_L1/T0,0.7222329,0.52162033,0.5629611,0.14313056,0.645853698736389,0.8848624,0.78298146,0.6699435,0.17651695,0.41737731074166873,0.90577775,0.8204334,0.740301,0.19170049,0.49292154784199027
11,AutoGluon,LightGBM_BAG_L1/T0,0.58743304,0.3450776,0.45843944,0.12014376,0.7657147583448126,0.8903125,0.7926563,0.7062514,0.17882448,0.4101781658045853,0.94334775,0.889905,0.7626615,0.20162131,0.44998381486677674
12,ThisWork,ThisWork,0.54101247,0.29269448,0.4089868,0.10698299,0.8012794731911423,0.9304296,0.86569923,0.71840614,0.18563633,0.35582629845056357,0.83587915,0.698694,0.66317546,0.17720614,0.5681639838280153
